Year,Month,State,Generation
2013,Aug,OK,3725.01178
2013,Sep,OK,2833.70773
2013,Oct,OK,1639.15084
2013,Nov,OK,1746.56864
2013,Dec,OK,2661.38765
2013,Jan,OR,1456.9263
2013,Feb,OR,1306.02658
2013,Mar,OR,1460.85104
2013,Apr,OR,682.82106
2013,May,OR,396.57674
2013,Jun,OR,506.53968
2013,Jul,OR,1187.89934
2013,Aug,OR,1550.73615
2013,Sep,OR,1278.31978
2013,Oct,OR,1307.35312
2013,Nov,OR,1458.26623
2013,Dec,OR,1770.72425
2013,Jan,PA,4344.88121
2013,Feb,PA,4120.18341
2013,Mar,PA,3819.58418
2013,Apr,PA,3568.36001
2013,May,PA,3779.87132
2013,Jun,PA,3908.62788
2013,Jul,PA,5138.13026
2013,Aug,PA,4917.29892
2013,Sep,PA,4218.01365
2013,Oct,PA,4000.85303
2013,Nov,PA,3954.27085
2013,Dec,PA,4167.62757
2013,Jan,RI,358.69835
2013,Feb,RI,197.68271
2013,Mar,RI,316.85838
2013,Apr,RI,551.13119
2013,May,RI,723.19412
2013,Jun,RI,594.17791
2013,Jul,RI,785.23624
2013,Aug,RI,708.94125
2013,Sep,RI,686.72704
2013,Oct,RI,586.84499
2013,Nov,RI,356.44495
2013,Dec,RI,273.15329
2013,Jan,SC,914.73282
2013,Feb,SC,897.36091
2013,Mar,SC,1028.1068
2013,Apr,SC,905.96585
2013,May,SC,879.6942
2013,Jun,SC,1204.03146
2013,Jul,SC,1439.85647
2013,Aug,SC,1290.62844
2013,Sep,SC,1095.65962
2013,Oct,SC,810.68728
2013,Nov,SC,665.73717
2013,Dec,SC,701.61317
2013,Jan,SD,27.1124
2013,Feb,SD,0.02946
2013,Mar,SD,0.01659
2013,Apr,SD,15.40626
2013,May,SD,0.47126
2013,Jun,SD,0.88407
2013,Jul,SD,95.13265
2013,Aug,SD,100.22793
2013,Sep,SD,49.79007
2013,Oct,SD,29.26615
2013,Nov,SD,57.06426
2013,Dec,SD,126.79987
2013,Jan,TN,635.13482
2013,Feb,TN,485.16432
2013,Mar,TN,642.0153
2013,Apr,TN,86.9878
2013,May,TN,176.75682
2013,Jun,TN,400.26624
2013,Jul,TN,489.03903
2013,Aug,TN,519.47947
2013,Sep,TN,421.34771
2013,Oct,TN,395.81947
2013,Nov,TN,464.88717
2013,Dec,TN,299.80011
2013,Jan,TX,15835.77814
2013,Feb,TX,12524.98468
2013,Mar,TX,13452.71746
2013,Apr,TX,14459.65359
2013,May,TX,15585.1674
2013,Jun,TX,19191.01225
2013,Jul,TX,21284.8396
2013,Aug,TX,23699.17696
2013,Sep,TX,20041.5953
2013,Oct,TX,15685.85825
2013,Nov,TX,15372.46337
2013,Dec,TX,16665.16858
2013,Jan,UT,557.44688
2013,Feb,UT,472.30954
2013,Mar,UT,493.68865
2013,Apr,UT,499.94529
2013,May,UT,336.25507
2013,Jun,UT,416.39229
2013,Jul,UT,632.16441
2013,Aug,UT,678.90371
2013,Sep,UT,629.20848
2013,Oct,UT,586.23053
2013,Nov,UT,598.23538
2013,Dec,UT,705.64264
2013,Jan,VA,1912.11546
2013,Feb,VA,1932.76974
2013,Mar,VA,1291.25453
2013,Apr,VA,1821.50191
2013,May,VA,1647.14728
2013,Jun,VA,1626.82021
2013,Jul,VA,2664.31589
2013,Aug,VA,2531.44921
2013,Sep,VA,2061.92369
2013,Oct,VA,1540.99121
2013,Nov,VA,1849.14651
2013,Dec,VA,1771.73134
2013,Jan,VT,0.35579
2013,Feb,VT,0.26114
2013,Mar,VT,0.27843
2013,Apr,VT,0.09248
2013,May,VT,0.26661
2013,Jun,VT,0.28468
2013,Jul,VT,0.20357
2013,Aug,VT,0.22957
2013,Sep,VT,0.22472
2013,Oct,VT,0.2463
2013,Nov,VT,0.27233
2013,Dec,VT,0.31353
2013,Jan,WA,545.60487
2013,Feb,WA,644.52576
2013,Mar,WA,942.77591
2013,Apr,WA,271.16198
2013,May,WA,252.19782
2013,Jun,WA,588.07012
2013,Jul,WA,1263.762
2013,Aug,WA,1680.31442
2013,Sep,WA,1356.38773
2013,Oct,WA,1341.98908
2013,Nov,WA,1045.8723
2013,Dec,WA,1491.64846
2013,Jan,WI,720.77368
2013,Feb,WI,617.50639
2013,Mar,WI,784.58102
2013,Apr,WI,711.57825
2013,May,WI,447.26021
2013,Jun,WI,626.66998
2013,Jul,WI,934.55406
2013,Aug,WI,957.88348
2013,Sep,WI,610.47212
2013,Oct,WI,624.96932
2013,Nov,WI,545.6021
2013,Dec,WI,520.64049
2013,Jan,WV,19.9413
2013,Feb,WV,17.3175
2013,Mar,WV,15.09965
2013,Apr,WV,17.95036
2013,May,WV,29.70525
2013,Jun,WV,21.76526
2013,Jul,WV,79.82102
2013,Aug,WV,23.50903
2013,Sep,WV,21.6756
2013,Oct,WV,4.47301
2013,Nov,WV,4.8574
2013,Dec,WV,13.524
2013,Jan,WY,51.98519
2013,Feb,WY,46.08094
2013,Mar,WY,50.45141
2013,Apr,WY,52.38176
2013,May,WY,42.14075
