Year,Month,State,Generation
2014,Jun,ID,3.21655
2014,Jul,ID,3.8236
2014,Aug,ID,6.88266
2014,Sep,ID,7.71098
2014,Oct,ID,8.18036
2014,Nov,ID,8.00789
2014,Dec,ID,8.32426
2014,Jan,IL,8232.37398
2014,Feb,IL,7701.64442
2014,Mar,IL,7910.55112
2014,Apr,IL,6460.8425
2014,May,IL,5572.11735
2014,Jun,IL,6988.75134
2014,Jul,IL,7688.78466
2014,Aug,IL,8191.15684
2014,Sep,IL,6546.2641
2014,Oct,IL,6592.83025
2014,Nov,IL,7699.34504
2014,Dec,IL,7697.72879
2014,Jan,IN,9886.83589
2014,Feb,IN,9023.15925
2014,Mar,IN,8627.0924
2014,Apr,IN,6805.91133
2014,May,IN,7580.21426
2014,Jun,IN,8839.23086
2014,Jul,IN,8540.53857
2014,Aug,IN,9154.74953
2014,Sep,IN,7502.58912
2014,Oct,IN,7157.72713
2014,Nov,IN,6913.56949
2014,Dec,IN,7517.12068
2014,Jan,KS,2606.86785
2014,Feb,KS,2466.11119
2014,Mar,KS,2356.33363
2014,Apr,KS,2123.44661
2014,May,KS,2158.16752
2014,Jun,KS,2572.91622
2014,Jul,KS,3073.29108
2014,Aug,KS,2922.31821
2014,Sep,KS,2166.86118
2014,Oct,KS,2060.12021
2014,Nov,KS,2122.23435
2014,Dec,KS,2123.61414
2014,Jan,KY,8188.39165
2014,Feb,KY,7608.42729
2014,Mar,KY,6894.38021
2014,Apr,KY,5953.37358
2014,May,KY,5920.90443
2014,Jun,KY,7031.8461
2014,Jul,KY,7494.99899
2014,Aug,KY,7854.27806
2014,Sep,KY,6530.67054
2014,Oct,KY,6022.2609
2014,Nov,KY,6710.82957
2014,Dec,KY,7391.59985
2014,Jan,LA,1930.10763
2014,Feb,LA,1470.26226
2014,Mar,LA,1413.57934
2014,Apr,LA,1262.82205
2014,May,LA,1212.1278
2014,Jun,LA,1729.35398
2014,Jul,LA,2050.36294
2014,Aug,LA,2145.19967
2014,Sep,LA,2041.08417
2014,Oct,LA,1140.99613
2014,Nov,LA,1270.03577
2014,Dec,LA,1555.08727
2014,Jan,MA,552.83138
2014,Feb,MA,636.19247
2014,Mar,MA,666.5596
2014,Apr,MA,264.9471
2014,May,MA,11.81988
2014,Jun,MA,33.90587
2014,Jul,MA,107.25787
2014,Aug,MA,32.45654
2014,Sep,MA,46.0998
2014,Oct,MA,0.03534
2014,Nov,MA,277.68923
2014,Dec,MA,165.09394
2014,Jan,MD,2328.00526
2014,Feb,MD,2054.08577
2014,Mar,MD,2163.59182
2014,Apr,MD,1253.20955
2014,May,MD,1488.28079
2014,Jun,MD,1429.0728
2014,Jul,MD,1463.11979
2014,Aug,MD,1047.95084
2014,Sep,MD,1276.29128
2014,Oct,MD,995.19726
2014,Nov,MD,1049.68214
2014,Dec,MD,1054.80362
2014,Jan,ME,15.74255
2014,Feb,ME,9.48143
2014,Mar,ME,14.28138
2014,Apr,ME,8.1273
2014,May,ME,5.61131
2014,Jun,ME,1.96154
2014,Jul,ME,4.11563
2014,Aug,ME,2.47069
2014,Sep,ME,1.49755
2014,Oct,ME,2.96762
2014,Nov,ME,3.86978
2014,Dec,ME,8.97715
2014,Jan,MI,5025.57814
2014,Feb,MI,4511.22802
2014,Mar,MI,4872.12292
2014,Apr,MI,3217.55358
2014,May,MI,3849.85377
2014,Jun,MI,4596.45212
2014,Jul,MI,5236.2206
2014,Aug,MI,5413.01544
2014,Sep,MI,4252.73634
2014,Oct,MI,3985.34359
2014,Nov,MI,3966.99762
2014,Dec,MI,3972.74204
2014,Jan,MN,2690.19123
2014,Feb,MN,2554.15581
2014,Mar,MN,2273.80434
2014,Apr,MN,1568.03097
2014,May,MN,2116.57114
2014,Jun,MN,2185.09837
2014,Jul,MN,2378.47097
2014,Aug,MN,2702.07636
2014,Sep,MN,2024.02692
2014,Oct,MN,2143.84566
2014,Nov,MN,2456.69301
2014,Dec,MN,2863.71445
2014,Jan,MO,7183.6765
2014,Feb,MO,6239.35301
2014,Mar,MO,6201.12171
2014,Apr,MO,4602.02163
2014,May,MO,5595.79063
2014,Jun,MO,6556.73633
2014,Jul,MO,7059.84083
2014,Aug,MO,7268.4639
2014,Sep,MO,5159.98082
2014,Oct,MO,4831.68669
2014,Nov,MO,5401.30112
