Year,State,Plant Code,Aggregated Fuel Group,Generation,Emission
2013,CO,6761,GAS,54627000.0,39667.7385
2013,CO,8067,GAS,6014096.0,5881.4145
2013,CO,8219,COAL,1585171080.0,1805385.9852
2013,CO,8219,GAS,1337000.0,1178.8335
2013,CO,10003,COAL,112223084.0,370146.9228
2013,CO,10003,GAS,72507906.0,137380.23
2013,CO,10180,GAS,655574.0,598.338
2013,CO,10682,GAS,109536000.0,69458.3955
2013,CO,10755,GAS,22078000.0,13681.6875
2013,CO,50676,GAS,132725000.0,68327.298
2013,CO,50707,GAS,608466000.0,343848.1995
2013,CO,54372,GAS,7278763.0,10166.7735
2013,CO,54630,GAS,16188000.0,17843.6115
2013,CO,55127,GAS,450118000.0,282478.131
2013,CO,55200,GAS,21504000.0,11138.9265
2013,CO,55207,GAS,9264000.0,5829.4665
2013,CO,55283,GAS,1600275000.0,731463.291
2013,CO,55453,GAS,73738000.0,42867.1035
2013,CO,55504,GAS,45632891.0,35110.8225
2013,CO,55505,GAS,63697338.0,46615.6665
2013,CO,55645,GAS,296617906.0,202176.2925
2013,CO,55650,GAS,37051000.0,21806.9865
2013,CO,55835,GAS,1776958000.0,787608.549
2013,CO,56445,GAS,514807000.0,339496.6185
2013,CO,56516,GAS,107809000.0,59781.3255
2013,CO,56998,GAS,1258608000.0,591033.5730000001
2013,CO,58081,COAL,7152000.0,113746.626
2013,CT,544,GAS,207414.0,127.881
2013,CT,546,GAS,10308585.0,6638.697
2013,CT,562,GAS,63135170.0,43548.6285
2013,CT,568,COAL,680652528.0,822474.1287
2013,CT,6156,GAS,24541431.0,26733.681
2013,CT,6635,GAS,8568900.0,6925.6395
2013,CT,10567,GAS,114242864.0,77028.0615
2013,CT,50498,GAS,23867366.0,15681.627
2013,CT,52061,GAS,47698714.0,49744.422
2013,CT,54236,GAS,84554349.0,90842.9535
2013,CT,54605,GAS,79509863.0,59095.998
2013,CT,54657,GAS,60286022.0,104925.1905
2013,CT,55042,GAS,3017481000.0,1260887.7645
2013,CT,55126,GAS,3748080000.0,1630609.578
2013,CT,55149,GAS,4600225000.0,1976350.077
2013,CT,55517,GAS,51111000.0,35366.877
2013,CT,56629,GAS,20678920.0,11661.507
2013,CT,56798,GAS,3161787863.0,1320967.323
2013,CT,56928,GAS,29154000.0,17354.025
2013,CT,57068,GAS,-470.0,0.1755
2013,CT,57179,GAS,28862000.0,41368.626
2013,CT,57666,GAS,113246000.0,123318.0585
2013,CT,58084,GAS,227830000.0,152486.1
2013,CT,58116,GAS,14058000.0,6806.826
2013,CT,58152,GAS,26277000.0,20474.5905
2013,CT,58158,GAS,12007940.0,6634.7775
2013,CT,58159,GAS,9089221.0,7034.2155
2013,CT,58176,GAS,127.0,4.2705
2013,CT,58184,GAS,117986000.0,93493.413
2013,CT,58224,GAS,43120.0,20.358
2013,CT,58237,GAS,9919000.0,4823.442
2013,CT,58327,GAS,17085000.0,14218.191
2013,CT,58365,GAS,2695000.0,2270.2095
2013,CT,58664,GAS,21332640.0,21187.1205
2013,CT,58948,GAS,27506000.0,22411.8765
2013,CT,99999,GAS,6922000.0,32242.5675
2013,DC,57788,GAS,65852080.0,53711.1315
2013,DE,593,GAS,390499172.0,275175.459
